Species,N,Order,Family,BM,AGILITY,AGILITY2,ASCR,PSCR,LSCR,SCR,ASCR MAMMAL PREDICTION,PSCR MAMMAL PREDICTION,LSCR MAMMAL PREDICTION,SCR MAMMAL PREDICTION,ASCR PRIMATE PREDICTION,PSCR PRIMATE PREDICTION,LSCR PRIMATE PREDICTION,SCR PRIMATE PREDICTION,,prosthion-inion
Idiurus macrotis,1,Rodentia,Anomaluridae,30,f,6,1,0.9,0.8,0.9,4.2,4.2,4.2,4.2,,,,,,
Idiurus zenkeri,1,Rodentia,Anomaluridae,16,f,6,1.1,0.7,0.7,0.8,4.9,3.9,4.4,4.5,,,,,,
Lophiomys imhausi,1,Rodentia,Muridae,755,s,2,1.4,1.3,1.1,1.3,3.2,3.3,3.2,3.2,,,,,,
Marmota monax,1,Rodentia,Sciuridae,4075,m,4,2.8,2.4,2.5,2.6,4.1,3.9,4.8,4.6,,,,,,
Meriones unguiculatus,1,Rodentia,Muridae,100,m,4,1.2,1.3,1.2,1.2,4.1,4.5,4.8,4.6,,,,,,
Microtus pennsylvanicus,1,Rodentia,Muridae,43,m,4,1,0.9,0.8,0.9,3.9,3.9,4.1,3.9,,,,,,
Mus musculus,1,Rodentia,Muridae,19,m,4,0.9,0.7,0.6,0.7,4.1,3.9,3.3,3.7,,,,,,
Myocastor coypus,1,Rodentia,Myocastoridae,7855,m,4,2,1.8,1.7,1.8,2.9,2.9,3.2,2.9,,,,,,
Ondatra zibethicus,1,Rodentia,Muridae,995,m,4,1.7,1.8,1.7,1.7,3.5,4,4.5,4.1,,,,,,
Pedetes capensis,1,Rodentia,Pedetidae,3049,f,6,2.5,2.2,2,2.2,4,3.9,4.2,4.3,,,,,,
Peromyscus maniculatus,1,Rodentia,Muridae,17,m,4,1,0.8,0.8,0.9,4.7,4.4,4.6,4.6,,,,,,
Petaurista petaurista,1,Rodentia,Sciuridae,1849,f,6,2.7,1.7,2.1,2.1,4.5,3.5,4.8,4.5,,,,,,
Rattus norvegicus,1,Rodentia,Muridae,270,m,4,1.5,1.2,1.1,1.3,4,3.7,3.9,3.9,,,,,,
Ratufa bicolor,1,Rodentia,Sciuridae,1375,f,6,2.6,2,2.1,2.2,4.6,4.1,5,4.9,,,,,,
Ratufa macroura,1,Rodentia,Sciuridae,1295,f,6,2.2,2,1.9,2,4.2,4.2,4.6,4.6,,,,,,
Sciurus aberti,1,Rodentia,Sciuridae,602,f,6,2.6,2.1,1.9,2.2,5.2,4.8,5.3,5.7,,,,,,
Sciurus carolinensis,1,Rodentia,Sciuridae,514,f,6,2.2,1.7,1.6,1.8,4.7,4.3,4.8,4.9,,,,,,
Sciurus granatensis,2,Rodentia,Sciuridae,250,f,6,2.1,1.8,1.6,1.9,5.2,5,5.4,5.7,,,,,,
Sciurus niger,1,Rodentia,Sciuridae,754,f,6,2.6,2.3,1.9,2.3,5,5,5.2,5.6,,,,,,
Sciurus richmondi,2,Rodentia,Sciuridae,200,f,6,2,1.6,1.5,1.7,5.1,4.8,5.4,5.5,,,,,,
Sciurus vulgaris,2,Rodentia,Sciuridae,322,f,6,2,1.5,1.5,1.7,4.8,4.2,4.9,4.9,,,,,,
Spalax ehrenbergi,1,Rodentia,Spalacidae,170,s,2,1.5,1.2,1.3,1.3,4.3,3.9,4.8,4.4,,,,,,
Spermophilus beecheyi,1,Rodentia,Sciuridae,618,f,6,2,1.6,1.6,1.7,4.3,4,4.6,4.5,,,,,,
Spermophilus parryi,1,Rodentia,Sciuridae,745,f,6,1.8,1.7,1.7,1.7,3.9,4,4.7,4.3,,,,,,
Spermophilus richardsoni,1,Rodentia,Sciuridae,289,f,6,1.6,1.4,1.3,1.4,4.1,4.1,4.2,4.3,,,,,,
Spermophilus tridecemlineatus,1,Rodentia,Sciuridae,126,f,6,1.5,1.2,1.2,1.3,4.6,4.1,4.8,4.7,,,,,,
Xerus erythropus,1,Rodentia,Sciuridae,576,f,6,2.2,1.8,1.7,1.9,4.7,4.3,4.9,5,,,,,,
Xerus rutilus,1,Rodentia,Sciuridae,420,f,6,2.1,1.6,1.6,1.7,4.7,4.2,4.8,4.9,,,,,,
Dendrogale murina,1,Scandentia,Tupaiidae,45,m,4,1.4,1.2,1.2,1.3,5,4.9,5.5,5.4,,,,,,
Ptilocercus lowii,1,Scandentia,Tupaiidae,39,m,4,1.3,1.1,1,1.1,4.9,4.5,5.1,5.1,,,,,,
Tupaia glis,1,Scandentia,Tupaiidae,142,m,4,1.7,1.4,1.5,1.5,4.8,4.6,5.6,5.3,,,,,,
Tupaia minor,1,Scandentia,Tupaiidae,70,m,4,1.4,1.3,1.3,1.3,4.6,4.7,5.4,5.1,,,,,,
Tupaia tana,1,Scandentia,Tupaiidae,205.3,m,4,1.8,1.5,1.4,1.6,4.7,4.5,5,5,,,,,,
Urogale everetti,1,Scandentia,Tupaiidae,275,m,4,1.8,1.5,1.6,1.7,4.5,4.4,5.4,5,,,,,,
Dugong dugon,1,Sirenia,Dugongidae,425000,es,1,3.5,2.9,3,3.2,2.4,2.2,2.6,2.3,,,,,,
Bradypus tridactylus,1,Xenarthra,Bradypodidae,4620,es,1,1.6,1.8,1.1,1.5,2.7,3.1,2.4,2.7,,,,,,
Bradypus variegates,1,Xenarthra,Bradypodidae,4340,es,1,1.6,1.5,1.1,1.4,2.8,2.8,2.3,2.5,,,,,,
Choloepus hoffmanni,1,Xenarthra,Megalonychidae,5720,es,1,1.9,2.1,1.1,1.7,2.9,3.4,2.2,2.8,,,,,,
Zaedyus pichiy,1,Xenarthra,Dasypodidae,1740,ms,3,1.5,1.4,1.4,1.4,3,3.1,3.3,3,,,,,,
