Species,N,Order,Family,BM,AGILITY,AGILITY2,ASCR,PSCR,LSCR,SCR,ASCR MAMMAL PREDICTION,PSCR MAMMAL PREDICTION,LSCR MAMMAL PREDICTION,SCR MAMMAL PREDICTION,ASCR PRIMATE PREDICTION,PSCR PRIMATE PREDICTION,LSCR PRIMATE PREDICTION,SCR PRIMATE PREDICTION,,prosthion-inion
Hemibelideus lemuroides,1,Diprotodontia,Petauridae,966,s,2,1.6,1.6,1.3,1.5,3.4,3.7,3.5,3.5,,,,,,
Macropus fuliginosus,1,Diprotodontia,Macropididae,62633,f,6,3.1,2.8,2.1,2.7,2.9,2.9,2.7,2.9,,,,,,
Petauroides volans,1,Diprotodontia,Petauridae,1300,f,6,1.8,1.8,1.5,1.7,3.6,3.9,3.9,3.9,,,,,,
Petaurus breviceps,1,Diprotodontia,Petauridae,140,f,6,1.4,1.2,1.1,1.2,4.3,4,4.3,4.3,,,,,,
Petaurus norfolcensis,1,Diprotodontia,Petauridae,230,f,6,1.3,1.3,1.1,1.2,3.8,4,3.9,3.9,,,,,,
Petrogale penicillata,1,Diprotodontia,Macropididae,6650,f,6,1.9,1.8,1.6,1.8,2.9,3.1,3,2.9,,,,,,
Phalanger orientalis,1,Diprotodontia,Phalangeridae,2500,s,2,1.8,1.4,1.3,1.5,3.3,2.9,3.1,3,,,,,,
Phascolarctos cinereus,2,Diprotodontia,Phascolarctidae,6957,s,2,2.4,2.3,2,2.3,3.4,3.6,3.7,3.7,,,,,,
Pseudocheirus peregrinus,1,Diprotodontia,Petauridae,781,m,4,1.8,1.7,1.5,1.7,3.9,3.9,4.2,4.1,,,,,,
Spilocuscus maculatus,1,Diprotodontia,Phalangeridae,3815,s,2,2.3,1.8,1.9,2,3.6,3.3,3.9,3.7,,,,,,
Trichosurus vulpecula,2,Diprotodontia,Phalangeridae,3410,m,4,2.1,1.7,1.6,1.8,3.4,3.2,3.4,3.4,,,,,,
Blarina brevicauda,1,Eulipotyphla,Soricidae,16,m,4,0.8,0.7,0.6,0.7,3.8,4,3.8,3.8,,,,,,
Erinaceus europaeus,1,Eulipotyphla,Erinaceidae,860,m,4,1.6,1.3,1.2,1.4,3.5,3.2,3.4,3.3,,,,,,
Scalopus aquaticus,1,Eulipotyphla,Talpidae,81,s,2,1,0.9,0.9,0.9,3.6,3.6,3.8,3.6,,,,,,
Sorex cinereus,1,Eulipotyphla,Soricidae,4,m,4,0.6,0.6,0.4,0.6,4.1,4.4,3.7,3.9,,,,,,
